CGC_HOSP,RAZAO,UF_ZI,CMPT
01038751000160,FUNDACAO DE ASSISTENCIA SOCIAL DE ANAPOLIS,52,200801
01049458000106,PREFEITURA MUNICIPAL DE VARZEA GRANDE,51,201505
01049618000109,MATERNIDADE DR ADALBERTO PEREIRA DA SILVA,52,201505
01052836000100,INSTITUTO DE CARDIOLOGIA E CLINICA MEDICA LTDA,52,200801
01057679000118,M I RABELO DUARTE,15,201505
01057942000179,HOSPITAL E MATERNIDADE GOIANESIA LTDA,52,201412
01070380000101,TEODORO E VASCONCELOS LTDA,52,201505
01070480000120,INSTITUTO DE OFTALMOLOGIA E OTORRINOLARINGOLOGISTA DE FORTAL,23,200801
01071994000108,FUNDACAO HOSPITALAR DA FRONTEIRA,41,201505
01081470000190,HOSPITAL MONTE SINAI LTDA,52,201505
01087739000145,SANTA CASA DE MISERICORDIA NOSSA SENHORA DAS GRACAS,41,201505
01130491000158,ASS DE PROTECAO A MATERNIDADE E A INFANCIA DE GOIANDIRA,52,201504
01145754000100,HOSPITAL SAO COSME E DAMIAO LTDA,52,200801
01146603000169,GACC GRUPO DE ASSISTENCIA A CRIANCA COM CANCER,35,201505
01152436000169,ASSOCIACAO RIOVERDENSE DE ASSISTENCIA E PROMOCAO HUMANA,31,201505
01156884000130,SOCIEDADE MEDICA SAO LUCAS LTDA,51,200801
01165729000261,FUNDO MUNICIPAL DE SAUDE DE JATAI,52,200801
01184801000117,CLINICA SANTA MARTHA LTDA,21,201505
01185687000140,SABINO ROLIN GUIMAROES FILHO CIA LTDA,25,201206
01187137000160,LIMA E FARIA LTDA,52,200801
01189836000220,COMSAUDE COMUNIDADE DE SAUDE DESENVOLVIMENTO E EDUCACAO,17,200801
01192155000130,CLINICA DE SERVICOS MEDICOS GERAIS LTDA,21,201411
01192155000210,CLINICA DE SERVICOS MEDICOS GERAIS LTDA,21,201505
01193587000165,FUNDACAO MEDICA ASSISTENCIAL DO TRABALHADOR RURAL,52,200801
01200925000149,SANDES CENTRO MEDICO ESPECIALIZADO LTDA,29,201006
01201051000144,ASSOCIACAO BENEFICENTE HOSPITAL DARCI JOAO BIGATON,50,201505
01206960000175,HOSPITAL E MATERNIDADE SAO SEBASTIAO LTDA,52,201505
01208831000116,HOSPITAL E MATERNIDADE NOSSA SENHORA DE FATIMA,25,200801
01210665000192,ASSOCIACAO POPULAR DE SAUDE DE ITAPURANGA APSI,52,201505
01233623000177,FUNDACAO MEDICA ANTONIO LUIZ DE MEDINA,33,200801
01250414000131,PAX CLINICA PSIQUIATRICA LTDA,52,201505
01254422000237,PREFEITURA MUNICIPAL DE SAO FRANCISCO DO GUAPORE,11,201303
01261592000168,ASSOCIACAO BENEFICENTE DE MUCUM ABM,43,201505
01269083000181,HOSPITAL ESPIRITA EURIPEDES BARSANULFO,52,201505
01290253000100,HOSPITAL SAGRADO CORACAO DE JESUS,52,201505
01299825000111,ORGANIZACAO HOSPITALAR SAO JOSE LTDA,52,201505
01307750000173,HOSPITAL BOM JESUS LTDA,52,200801
01318427000103,TOLEDO E FILHOS LTDA,52,200801
01321256000163,HOSPITAL NASR FAIAD LTDA,52,201505
01323146000130,SANTA CASA DE MISERICORDIA DE CATALAO,52,201505
01326206000179,CENTRO MEDICO CIRURGICO DE CATALAO LTDA,52,201505
01348978000101,HOSP E MATERN SANTA MARGARIDA LTDA,52,200801
01354174000115,DORILLA REIS DIAS,52,201011
01359405000183,PORTELA E ALBUQUERQUE LTDA,52,200801
01368232000160,CASA DA CARIDADE DOM ORIONE,17,200801
01377357000156,HOSPITAL ORTOPEDICO LTDA,51,200801
01378090000111,JAIR DINOAH ARAUJO,52,200902
01380237000108,FERNANDO BEZERRA DE ALBUQUERQUE,52,201302
01381151000108,ASSOCIACAO HOSPITAL SAO PIO X,52,201505
01381592000100,HOSPITAL DAS CLINICAS DE COROATA,21,200801
01383835000130,HOSPITAL DAS CLINICAS PRIMAVERA LTDA,51,201505
01385020000190,DOUTOR ALMY DIAS DE SOUZA,52,201505
01387625001435,DOCTOR CLIN OPERADORA DE PLANOS DE SAUDE LTDA,43,201101
01404201000117,HOSPITAL SAO VICENTE DE PAULO,52,201505
01407360000175,AMIGO ASSISTENCIA MEDICA INFANTIL DE GOIANIA LTDA,52,201505
01418453000103,CMC CLINICA MEDICA CATARATAS SC LTDA,41,201505
01431061000176,CLINICA MEDICA DE PLANALTINO LTDA,29,201505
01507380000118,HOSPITAL E MAT HELIO ALVES DA SILVA SC LTDA,15,201501
01507901000137,INSTITUTO DO CORACAO DE NATAL LTDA,24,201505
01525732000168,HOSPITAL EBENEZER LTDA,52,200801
01525849000141,MATERNIDADE E HOSPITAL SAO JUDAS TADEU LTDA,52,201505
01526714000109,HOSPITAL CORACAO DE JESUS LTDA,52,201505
01531714000199,SAID RASSI,52,201505
01533884000102,GASTRO SALUSTIANO HOSPITAL LTDA EPP,52,201505
01534437000178,ORGANIZACAO HOSPITALAR DE GOIAS,52,200801
01536424000138,HOSPITAL MARIA AUXILIADORA LTDA,52,201505
01540335000165,CLINICA SANTA PAULA LTDA,52,200801
01545649000150,PRONTO SOCORRO INFANTIL DE GOIANIA LTDA,52,200801
01545698000193,HOSPITAL SAO MIGUEL,52,200801
01550789000117,CLINICA DE REPOUSO DE GOIANIA LTDA,52,200801
